agents,saving
10,2
4,10
5,5
9,10
7,2
9,8
2,8
8,8
9,3
3,9
9,7
3,6
7,8
8,1
3,5
1,9
4,10
5,9
3,8
9,2
10,9
5,10
3,8
5,5
5,8
8,4
2,8
2,8
4,3
9,2
8,6
9,1
4,4
10,1
9,1
7,6
6,2
2,8
2,10
4,10
10,1
10,3
2,7
2,8
9,10
4,7
8,1
3,9
10,1
10,2
6,1
10,4
8,5
1,9
10,2
3,6
8,2
2,6
8,10
1,7
8,2
8,2
6,9
7,10
4,10
4,6
6,10
2,8
4,9
9,3
2,5
4,7
10,1
2,7
5,7
10,1
3,8
3,10
3,7
1,7
8,2
3,8
9,2
3,8
6,10
8,3
2,7
2,10
1,9
9,8
4,10
8,8
10,6
4,6
1,10
6,10
1,8
3,7
8,9
9,1
9,3
2,7
8,10
5,7
8,3
2,4
2,9
8,4
4,8
5,2
10,6
4,9
7,3
3,9
5,7
2,10
5,8
9,3
4,5
10,1
10,10
2,9
9,8
7,10
10,3
6,1
